id,username,name,address,barangay,age,contact,email,disability_type,verification_status,date_registered,pwd_id_number,avatar,active,skills,education,work_experience,years_of_experience,certifications,job_interests,preferred_job_types,preferred_work_setup,functional_capabilities,accessibility_needs,accommodation_requirements,preferred_location,education_level,saved_job_ids,deleted_at
PWD-LB-2026-0003,12345678,Gretchen Andaya,Purok 2,Brgy. Maahas,21,9105761086,gretchenandaya09@gmail.com,Physical Disability,Verified,2026-09-23,12345678,,true,"[""Microsoft Office"",""Customer Service""]",,,,[],[],[],[],[],[],[],,High School Graduate,[],
PWD-LB-2026-0001,LB-PHY-2024-1221,Gretchen Andaya,Purok 2,Brgy. Maahas,21,9105761086,,Intellectual Disability,Verified,2026-09-20,LB-PHY-2024-1221,,false,[],,,,,,,,,,,,,[],
PWD-LB-2024-0048,carmelita.flores,Carmelita Flores,"12 Pili Drive, Bagong Kalsada",Brgy. Bagong Kalsada,29,+63 915 789 0123,carmelita.flores@email.com,Psychosocial Disability,Verified,2024-03-15,LB-PSY-2024-00029,,false,"[""Customer Service"",""English Proficiency"",""Communication"",""Typing""]",Bachelor of Arts in Communication,Call center customer support trainee,1,[],"[""Customer Service Representative"",""Call Center Agent"",""Receptionist""]","[""Full-time"",""Part-time""]","[""On-site"",""Remote""]","[""Computer-based tasks"",""Seated work"",""Verbal communication"",""Use standard computer applications""]",[],"[""Quiet workspace"",""Flexible schedule"",""Supportive supervision""]",,,[],
PWD-LB-2024-0047,felix.abad,Felix Abad,"99 Diokno St., Maahas",Brgy. Maahas,22,+63 916 678 9012,felix.abad@email.com,Learning Disability,Verified,2024-03-10,LB-LEA-2024-00043,,false,"[""Photography"",""Videography"",""Social Media"",""Video Editing""]",Senior High School Graduate,Event photo and video coverage assistant,1,"[""TESDA Visual Graphics Design NC II""]","[""Photographer"",""Video Editor"",""Social Media Assistant""]","[""Part-time"",""Contractual""]","[""Remote"",""On-site""]","[""Computer-based tasks"",""Seated work"",""Use photo and video equipment"",""Visual communication""]",[],"[""Step-by-step instructions"",""Written task checklists""]",,,[],
PWD-LB-2026-0002,LB-PHY-2026-01234,John Andrei Guzman,Antique,Brgy. Malinta,25,09106835257,aceattacker028@gmail.com,Intellectual Disability,Verified,2026-09-21,LB-PHY-2026-01234,,true,"[""Microsoft Office"",""Computer Literacy"",""IT Support"",""Typing""]",BS Information Technology,2 years experience as IT Support in Nextvas,,,,"[""Full-time""]","[""On-site""]",,,"[""Written instructions"",""Quiet workspace"",""Remote work""]",,College Graduate,[],
PWD-LB-2024-0043,juan.delacruz,Juan dela Cruz,"78 Malvar St., Batong Malake",Brgy. Batong Malake,34,+63 917 234 5678,juan.delacruz@email.com,Physical Disability,Verified,2024-01-22,LB-PHY-2023-00312,,true,"[""Administration"",""Typing"",""MS Office"",""Data Entry"",""Computer Literacy""]",Bachelor of Science in Public Administration,Barangay secretary assistant (records and encoding),2,"[""TESDA Computer Hardware Servicing NC II""]","[""Administrative Assistant"",""Records Clerk"",""Data Encoder""]","[""Full-time""]","[""On-site""]","[""Computer-based tasks"",""Seated work"",""Verbal communication"",""Use standard computer applications""]","[""Wheelchair accessible entrance"",""Accessible restroom"",""Elevator access""]","[""Accessible workstation"",""Wheelchair accessible route""]","Los Baños, Laguna",,[],
PWD-LB-2024-0044,ana.macaraeg,Ana Macaraeg,"33 Rizal Ave., Putho-Tuntungin",Brgy. Putho-Tuntungin,25,+63 920 345 6789,ana.macaraeg@email.com,Deaf or Hard of Hearing,Verified,2024-02-05,LB-HEA-2024-00018,,true,"[""Writing"",""Design"",""Social Media"",""Photography""]",Bachelor of Fine Arts,Freelance graphic designer for student organizations,1,"[""TESDA Visual Graphics Design NC III""]","[""Graphic Designer"",""Social Media Assistant"",""Content Writer""]","[""Part-time"",""Full-time""]","[""Hybrid"",""Remote""]","[""Computer-based tasks"",""Seated work"",""Visual communication"",""Use design software""]","[""Sign language interpretation"",""Visual alert systems""]","[""Written communication"",""Visual notifications""]",,,[],
PWD-LB-2024-0042,maria.reyes,Maria Santos Reyes,"142 Pili Drive, Malinta",Brgy. Malinta,28,+63 912 345 6789,jadesupremo0@gmail.com,Visual Disability,Verified,2024-01-15,LB-VIS-2023-00421,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?w=80&h=80&fit=crop&auto=format,true,"[""Manual Labor"",""Carpentry"",""Design"",""Tailoring"",""Horticulture""]",,Computer Technician Intern at a local IT services shop,1,"[""TESDA Computer Systems Servicing NC II"",""Microsoft Office Specialist""]","[""Data Entry"",""IT Support"",""Administrative Assistant""]","[""Full-time"",""Part-time""]","[""On-site"",""Remote""]","[""Computer-based tasks"",""Seated work"",""Verbal communication"",""Use standard computer applications"",""Read with assistive technology""]","[""Accessible entrance"",""Screen reader compatible software""]","[""Screen reader software"",""High contrast display settings""]","Los Baños, Laguna",Elementary,[],
PWD-LB-2024-0045,roberto.v,Roberto Villanueva,"210 Bonifacio Ave., Bayog",Brgy. Bayog,31,+63 918 456 7890,roberto.v@email.com,Mental Disability,Verified,2024-02-14,LB-MEN-2023-00156,,false,"[""Horticulture"",""Manual Labor"",""Carpentry"",""Plant Care""]",High School Graduate,Farm helper and landscape maintenance worker,4,"[""TESDA Organic Agriculture Production NC II""]","[""Gardener"",""Grounds Maintenance"",""Farm Worker""]","[""Full-time""]","[""On-site""]","[""Outdoor physical work"",""Lifting moderate loads"",""Manual tasks"",""Seated work""]",[],"[""Clear task instructions"",""Flexible breaks""]",,,[],
PWD-LB-2024-0046,liza.corpuz,Liza Corpuz,"55 Tiongco St., Anos",Brgy. Anos,45,+63 919 567 8901,liza.corpuz@email.com,Cancer (RA 11215),Rejected,2024-02-28,LB-CAN-2024-00007,,false,"[""Cooking"",""Baking"",""Food Processing"",""Food Safety""]",Vocational — Hotel and Restaurant Services,Kitchen helper and food stall operator,3,"[""TESDA Food and Beverage Services NC II""]","[""Food Service Assistant"",""Bakeshop Helper"",""Kitchen Staff""]","[""Part-time""]","[""On-site""]","[""Standing work for short periods"",""Manual tasks"",""Seated work""]",[],"[""Flexible schedule"",""Rest breaks""]",,,[],
